Waterbody Type,Segment ID,Waterbody Index Number (WIN),Name,Description,Basin,Segment Miles,6NYCRR Chapter X Part,Water Quality Class
Streams,0105-0001,Ont 158..E-68,"Chautauqua Creek, Lower, and minor tribs","stream and selected tribs, fr mouth to near Minton Res",Niagara River/Lake Erie,6,839,C(T)
Streams,0105-0003,Ont 158..E-96,Twentymile Creek and minor tribs,entire stream and selected tribs,Niagara River/Lake Erie,59.49,839,C(T)
Streams,0105-0006,Ont 158..E-25- 1,"Walnut Creek, Lower, and tribs","stream and tribs, from the mouth to Forestville",Niagara River/Lake Erie,25.13,836,C
Streams,0105-0007,Ont 158..E-25,"Silver Creek, Lower, and minor tribs","stream and selected tribs, from mouth to Smith Mills",Niagara River/Lake Erie,21.71,836,C(T)
Streams,0105-0008,Ont 158..E-37,"Canadaway Creek, Lower, and tribs","stream and tribs, from mouth to Shumla",Niagara River/Lake Erie,36.77,839,B
Streams,0105-0010,Ont 158..E-50,Slippery Rock Creek and tribs,entire stream and tribs,Niagara River/Lake Erie,11.32,839,C
Streams,0105-0012,Ont 158..E-25,"Silver Creek, Upper, and tribs","stream and tribs, above Smith Mills",Niagara River/Lake Erie,32.68,821,A
Streams,0105-0013,Ont 158..E-25- 1,"Walnut Creek, Upper, and tribs","stream and tribs, above Forestville",Niagara River/Lake Erie,36.86,836,C(T)
Streams,0403-0075,Ont 117-201-11,Wileyville Creek and tribs,entire stream and tribs (in NYS),Genesee River,21.69,821,C(TS)
Streams,0403-0077,Ont 117 (portion  8),"Genesee River, Upper, Main Stem",from Caneadea to Angelica,Genesee River,9.55,821,C
Streams,0403-0078,"Ont 117- 69 thru 91, Lower (select)","Minor Tribs, Lower, to Genesee River",total lecgth of portions of selected tribs to Genesee R,Genesee River,26.07,821,B
Streams,0404-0001,Ont 117- 66,"Canaseraga Creek, Lower, and minor tribs",stream and smaller tribs from mouth to Dansville,Genesee River,94.79,821,C
Streams,0404-0002,Ont 117- 66,"Canaseraga Creek, Upper, and tribs",stream and tribs above Canaseraga,Genesee River,99.57,821,C
Streams,0404-0010,Ont 117- 66- 3,"Keshequa Creek, Lower, and tribs",stream and tribs from mouth to Tuscarora,Genesee River,33.74,821,A
Streams,0404-0011,Ont 117- 66-22,Mill Creek and minor tribs,entire stream and minor tribs,Genesee River,52.84,821,C(TS)
Streams,0404-0012,Ont 117- 66-  c,unnamed trib in Mount Morris,entire stream and tribs,Genesee River,12.82,821,C
Streams,0404-0013,Ont 117- 66,"Canaseraga Creek, Middle, and minor trib",stream and smaller tribs from Dansville to Canaseraga,Genesee River,38.98,821,C
Streams,0404-0014,"Ont 117- 66- 1,-1-1","Tuscarora, Buck Run Creeks and tribs",entire streams and tribs,Genesee River,43.56,821,C
Streams,0404-0015,Ont 117- 66- 3,"Keshequa Creek, Middle, and tribs",stream and tribs from Tuscarora to Nunda,Genesee River,62.78,821,C
Streams,0404-0016,Ont 117- 66- 3,"Keshequa Creek, Upper, and tribs",stream and tribs above Nunda,Genesee River,52.66,821,C
Streams,0404-0017,Ont 117- 66- 3- 7,Wildcat Gully Creek and tribs,entire stream and tribs,Genesee River,10.94,821,C
Streams,0404-0018,Ont 117- 66- 3-25,Newville Creek and tribs,entire stream and tribs,Genesee River,12.53,821,C
Streams,0404-0019,Ont 117- 66- 8,State/West Ditch and minor tribs,entire stream and selected/smaller tribs,Genesee River,49.17,821,C
Streams,0601-0173,SR-187-21,Decatur Creek and tribs,entire stream and tribs,Susquehanna River,27.09,931,C(TS)
Streams,0601-0174,SR-195,"Cherry Valley Creek, Upper and tribs",stream and tribs above Roseboom,Susquehanna River,52.98,931,C(T)
Streams,0601-0175,SR-195-21,Pleasant Brook and tribs,entire stream and tribs,Susquehanna River,45.35,931,C(T)
Streams,0601-0176,SR-204- 5,Fly Creek and tribs,entire stream and tribs,Susquehanna River,33.03,931,C(TS)
Streams,0601-0177,SR-204-P392- 1,Herkimer Creek and tribs,entire stream and tribs,Susquehanna River,24.07,931,C
Streams,0601-0178,SR-204-P392- 3,Hyder Creek and tribs,entire stream and tribs,Susquehanna River,14.59,931,C
Streams,0601-0179,SR-P404-,Minor Tribs to Otsego Lake,selected/minor tribs to lake,Susquehanna River,44.52,930,C
Streams,0601-0180,SR-P404-12,Hayden Creek and tribs,entire stream and tribs,Susquehanna River,15.95,931,C(T)
Streams,0601-0181,SR-P404-14,Shadow Brook and tribs,entire stream and tribs,Susquehanna River,33.25,931,C(T)
Streams,0601-0182,SR (portion 5),"Susquehanna River, Main Stem",from Binghamton to NY-Pa state line nr Riverside,Susquehanna River,16.67,931,A
Streams,0601-0185,SR-103,"Hotchkiss Creek, Upper, and tribs",stream and tribs above Windsor,Susquehanna River,1.61,863,AA
Streams,0601-0186,SR-124 thru 145 (selected),Minor Tribs to Susquehanna River,total length of select tribs from Nineveh to Sidney,Susquehanna River,93.46,863,C
Streams,1004-0046,C- 48,"Boquet River, Middle, and minor tribs",stream and selected tribs from Wadhams to Elizabethtown,Lake Champlain,863,863,C(T)
Streams,1301-0253,H-235-P386-,Tribs to Burden Lake,total length of all tribs,Lower Hudson River,23.92,863,C
Streams,1301-0255,H-236,"Poesten Kill, Upper, and tribs","stream and tribs, above Poestenkill",Lower Hudson River,64.62,864,C(TS)
Streams,1301-0256,H-236-13,"Quacken Kill, Lower, and tribs","stream and tribs, from mouth to near Quackenkill",Lower Hudson River,26.51,864,C(TS)
Streams,1301-0257,H-236-13,"Quacken Kill, Upper, and tribs","stream and tribs, above Quackenkill",Lower Hudson River,19.47,864,A(TS)
Streams,1302-0001,H- 31-P44-23-P59- 4 thru 10,Minor Tribs to Croton Falls Reservoir,"total length of select tribs, northern/eastern shore",Lower Hudson River,4.79,864,B
Streams,1302-0011,H- 31-P44-24-25,Muddy Brook and tribs,entire stream and tribs,Lower Hudson River,38.53,864,C
Streams,1302-0034,H- 31-P44-26,"Titicus River, Lower","stream, from mouth to Titicus Reservoir",Lower Hudson River,0.78,864,A(T)
Streams,1302-0047,H- 31-P44- 2,"Hunter Brook, Lower, and tribs","stream and tribs, from mouth to Mill Pond",Lower Hudson River,2.85,864,B(TS)
Streams,1302-0048,H- 31-P44- 2,"Hunter Brook, Upper, and tribs",entire stream and tribs,Lower Hudson River,3.29,864,C
Streams,1302-0049,H- 31-P44-14,"Muscoot River, Lower, and minor tribs","stream and select tribs, New Croton Res to Amawalk Res",Lower Hudson River,10,864,A(TS)
Streams,1302-0050,H- 31-P44-14,"Muscoot River, Upper, and tribs","stream and tribs, above Amawalk Reservior",Lower Hudson River,15.66,864,A(T)
Streams,1302-0052,H- 31-P44-14- 1,"Hallocks Mill Brook, Upper, and tribs","stream and tribs, above Amawalk",Lower Hudson River,11.62,864,C
Streams,1302-0055,H- 31-P44-24 (portion 3),"East Branch Croton, Middle, and tribs","stream and tribs, from Diverting Res to East Branch Res",Lower Hudson River,12.76,864,A(T)
Streams,1302-0056,H- 31-P44-24 (portion 5),"East Branch Croton, Upp, and tribs","stream and tribs, fr East Branch Res to Deforest Crnrs",Lower Hudson River,10.76,864,A(T)
Streams,1302-0057,H- 31-P44-24 (portion 6),"East Branch Croton, Upp, and minor tribs","stream and select tribs, above Deforest Corners",Lower Hudson River,69.16,864,C
Streams,1302-0059,H- 31-P44-36,"Stone Hill River, Lower, and tribs","stream and tribs, from mouth to near Pound Ridge",Lower Hudson River,45.3,864,C(T)
Streams,1302-0060,H- 31-P44-43,"Kisco River, Lower, and tribs","stream and tribs, from mouth to below Mount Kisco",Lower Hudson River,6.24,864,B(TS)
Streams,1302-0061,H- 31-P44-43,"Kisco River, Upper, and tribs","stream and tribs, above Mount Kisco",Lower Hudson River,31.68,864,C(T)
Streams,1302-0064,H- 31 (portion 1),"Croton River, Lower, Main Stem",from tidal waters to Mount Airy,Lower Hudson River,0.85,864,B
Streams,1302-0065,H- 31 (portion 2),"Croton River, Lower, Main Stem",from Mount Airy to New Croton Dam,Lower Hudson River,1.42,864,A(T)
Streams,1302-0066,H- 31- 1 thru 6,Minor Tribs to Lower Croton River,"total length of all tribs, from mouth to New Croton Dam",Lower Hudson River,7.87,864,C
Streams,1302-0068,H- 31-P44- 1 thru 1a,Minor Tribs to New Croton Reservoir,"total length of select tribs, dam to Hunter Brook",Lower Hudson River,3.22,864,B
Streams,1302-0073,H- 31-P44- 2-P49a- 2,Unnamed Trib to Mill Pond/Hunter Brook,entire stream and tribs,Lower Hudson River,6.17,864,C
Streams,1302-0074,H- 31-P44- 2a thru 13,Minor Tribs to New Croton Reservoir,"total length of select tribs, Hunter Brook to Muscoot R",Lower Hudson River,15.28,864,B
Streams,1302-0081,H- 31-P44-14- 7-P52- and 4-P51-,Tribs of Secor and Kirk Lakes,total length of all tribs,Lower Hudson River,5,864,C
Streams,1302-0082,H- 31-P44-14-P50-,Minor Tribs to Amawalk Reservoir,total length of select tribs,Lower Hudson River,3.58,864,B
Streams,1302-0084,H- 31-P44-14-P53- 1,Tribs of Lake Mahopac,total length of all tribs,Lower Hudson River,0.72,864,C
Streams,1302-0086,H- 31-P44-15 thru 16a,Minor Tribs to New Croton Reservoir,"total length of select tribs, Muscoot R to Plum Brook",Lower Hudson River,10.74,864,C(TS)
Streams,1302-0087,H- 31-P44-17,"Plum Brook, Lower, and tribs","stream and tribs, from mouth to Lincolndale",Lower Hudson River,8.26,864,B(TS)
Streams,1302-0088,H- 31-P44-17,"Plum Brook, Upper, and tribs","stream and tribs, above Lincolndale",Lower Hudson River,6.33,864,C
Streams,1302-0091,H- 31-P44-18 thru 22,Minor Tribs to New Croton Reservoir,"total length of all tribs, Plum Brook to West Branch",Lower Hudson River,10.82,864,C
Streams,1302-0092,H- 31-P44-23 (portion 1),"West Branch Croton R, Lower, Main Stem",from mouth at Croton Falls to Croton Falls Reservoir,Lower Hudson River,1.19,864,A(TS)
Streams,1302-0093,H- 31-P44-23 (portion 3),"West Branch Croton R, Middle, and tribs",from Croton Falls Reservoir to West Branch Reservoir,Lower Hudson River,5.75,864,A(TS)
Streams,1302-0094,H- 31-P44-23 (portion 5),"West Branch Croton R, Middle, and tribs",from West Branch Reservoir to Boyd Corners Reservoir,Lower Hudson River,2.23,864,A(T)
Streams,1302-0095,H- 31-P44-23 (portion 7),"West Branch Croton R, Upper, and tribs",from Boyd Corners Reservoir to Sagamore Lake,Lower Hudson River,25.44,864,C(T)
Streams,1302-0097,H- 31-P44-23 (portion 8)/P76j-,Tribs to Sagamore Lake,total length of all tribs,Lower Hudson River,6.22,864,C
Streams,1302-0098,H- 31-P44-23-P59- 1 thru 2,Minor Tribs to Croton Falls Reservoir,"total length of select tribs, western shore",Lower Hudson River,1.57,864,B
Streams,1302-0099,H- 31-P44-23-P59- 2,Mud Pond Brook and tribs,entire stream and tribs,Lower Hudson River,7.84,864,B
Streams,1302-0102,H- 31-P44-23-P59- 3,Lake Gilead Outlet,entire stream,Lower Hudson River,0.38,864,A(TS)
Streams,1302-0104,H- 31-P44-23-P59- 6 (portion 1),"Middle Branch Croton R, Lower",entire stream,Lower Hudson River,0.15,864,A(T)
Streams,1302-0105,H- 31-P44-23-P59- 6 (portion 3),"Middle Branch Croton R, Middle, and trib","stream and tribs, Middle Branch Reserv to Lake Carmel",Lower Hudson River,6.82,864,C(TS)
Streams,1302-0106,H- 31-P44-23-P59- 6 (portion 4),"Middle Branch Croton R, Upper, and tribs","stream and tribs, above Lake Carmel",Lower Hudson River,5.75,864,C(T)
Streams,1302-0107,H- 31-P44-23-P59- 6-P62-,Minor Tribs to Middle Branch Reseroir,total length of all tribs,Lower Hudson River,5.28,864,C
Streams,1302-0108,H- 31-P44-23-P59- 6-P62..P62a-,Minor Tribs to Lake Carmel,total length of all tribs,Lower Hudson River,1.39,864,C
Streams,1302-0110,H- 31-P44-23-P59- 6-P62..P62a..P63-,Tribs to Stump Pond,total length of all tribs,Lower Hudson River,13.61,864,C
Streams,1302-0113,H- 31-P44-23..P67-,Minor Tribs to West Branch Reservoir,total length of select tribs,Lower Hudson River,26.64,864,B
Streams,1302-0124,H- 31-P44-24 (portion 1),"East Branch Croton, Lower","stream, from mouth to Diverting Reservoir",Lower Hudson River,2.73,864,A(T)
Streams,1302-0125,H- 31-P44-24- 1,Holly Stream and tribs,entire stream and tribs,Lower Hudson River,8.98,864,C
Streams,1302-0126,H- 31-P44-24- 9-P86-,Tribs to Bog Brook Reservoir,total length of all tribs,Lower Hudson River,5.16,864,C
Streams,1302-0127,H- 31-P44-24- P89-,Tribs to East Branch Reservoir,total length of all tribs,Lower Hudson River,13.05,864,C
Streams,1302-0134,H- 31-P44-25 thru 33,Minor Tribs to New Croton Reservoir,"total length of select tribs, from East Br to Cross R",Lower Hudson River,16.82,864,C
Streams,1302-0135,H- 31-P44-26/P103-,Tribs to Titicus Reservoir,total length of all tribs,Lower Hudson River,30.52,864,C
Streams,1302-0137,H- 31-P44-35,"Cross River, Lower","stream, from mouth to Cross River Reservoir",Lower Hudson River,0.3,864,A(T)
Streams,1302-0138,H- 31-P44-35-P109-,Minor Tribs to Cross River Reservoir,total length of select tribs,Lower Hudson River,18.78,864,C
Streams,1302-0139,H- 31-P44-35-P109- 6,Upper Cross/Waccabuc River and tribs,stream and tribs,Lower Hudson River,25.36,864,A(T)
Streams,1302-0143,H- 31-P44-36,"Stone Hill River, Upper, and tribs","stream and tribs, above Pound Ridge",Lower Hudson River,3.93,862,B(T)
Streams,1302-0146,H- 31-P44-37 thru 42,Minor Tribs to New Croton Reservoir,"total length of select tribs, from Cross R to Kisco R",Lower Hudson River,6.69,862,C
Streams,1302-0148,H- 31-P44-44 thru 55,Minor Tribs to New Croton Reservoir,"total length of select tribs, from Kisco R to Croton R",Lower Hudson River,20.87,862,B
Streams,1303-0010,H- 89,"Moodna Creek, Lower, and minor tribs","stream and select tribs, from mouth to Mountainville",Lower Hudson River,25.26,863,C
Streams,1303-0011,H- 89,"Moodna Creek, Upper, and minor tribs","stream and select tribs, above Mountainville",Lower Hudson River,131.46,862,C
Streams,1303-0014,H- 89- 7,Woodbury Creek and tribs,entire stream and tribs,Lower Hudson River,38.4,862,C
Streams,1301-0246,H-224,Mill Creek and tribs,entire stream and tribs,Lower Hudson River,40.89,855,C(TS)
Streams,1304-0003,H- 95,"Fishkill Creek, Lower, and tribs","entire stream and tribs, from mouth to Brickerhoff",Lower Hudson River,17.38,862,C
Streams,1304-0010,H- 95,"Fishkill Creek, Middle, and minor tribs","stream and select tribs, Brickerhoff to Hopewell Jct",Lower Hudson River,66.74,862,B(T)
Streams,1305-0014,H-101 (portion 4),"Wappingers Cr, Middle, and minor tribs","stream and select tribs, fr Pleasnt Val to Stanfrdville",Lower Hudson River,91.84,855,B(T)
Streams,1305-0015,H-101- 1- 1a,Unnamed Trib to Hughsonville Cr,entire stream,Lower Hudson River,5.44,855,B
Streams,1305-0016,H-101- 4,Unnamed Trib to Wappingers Cr and tribs,entire stream and tribs,Lower Hudson River,25.49,855,B(T)
Streams,1305-0018,H-101-11,Unnamed Trib to Wappingers Cr and tribs,entire stream and tribs,Lower Hudson River,22.61,862,B
Streams,1305-0019,H-101-18,"Little Wappingers Cr, Lower, and tribs","stream and tribs, mouth to Schultzville",Lower Hudson River,28.15,855,B(T)
Streams,1305-0020,H-101-18,"Little Wappingers Cr, Upper, and tribs","stream and tribs, above Schultzville",Lower Hudson River,41.48,858,B
Streams,1305-0022,H-101-21,"East Br Wappingers Cr, Lower, and tribs","stream and tribs, from mouth to above Millbrook",Lower Hudson River,40.11,855,B(T)
Streams,1305-0023,H-101-21,"East Br Wappingers Cr, Upper, and tribs",stream and tribs above Millbrook,Lower Hudson River,16.64,855,A(T)
Streams,1305-0030,H-101-12,Great Spring Brook and tribs,entire stream and tribs,Lower Hudson River,31.27,855,B
Streams,1306-0006,H-139-13-62,Rutgers Creek and minor tribs,entire stream and select tribs,Lower Hudson River,80.09,855,C
Streams,1306-0009,H-139-14-P815a-48,Chestnut Creek and tribs,entire stream and tribs,Lower Hudson River,48.87,855,A(T)
Streams,1306-0014,H-139-14-P815a-,Minor Tribs to Rondout Reservoir,"total length of select tribs, to Rondout Reservoir",Lower Hudson River,15.61,855,A
Streams,1306-0015,H-139-13-61- 9,"Wawayanda Creek, Upper, and minor tribs","stream and select tribs, above Warwick",Lower Hudson River,21.15,855,B(T)
Streams,1306-0017,H-139-13 (portion 4),"Wallkill River, Upper, and minor tribs","stream and select tribs, above Middletown",Lower Hudson River,59.72,855,C
Streams,1306-0025,H-139-13-59,Quaker Creek and tribs,entire stream and tribs,Lower Hudson River,41.52,855,C
Streams,1306-0026,H-139-14 (portion 6),"Rondout Creek, Upper, and minor tribs","stream and select tribs, fr reservoir to E.Mountain Rd.",Lower Hudson River,18.65,855,A(TS)
Streams,1306-0027,H-139-13 (portion 2),"Wallkill River, Lower, Main Stem",from Sturgeon Pond to Tuthill,Lower Hudson River,17.1,855,B
Streams,1306-0030,H-139 (portion 1),"Rondout River, Lower, Main Stem",from mouth to Eddyville,Lower Hudson River,3.39,855,C
Streams,1306-0031,H-139 (portion 2),"Rondout River, Lower, Main Stem",from Eddyville to Wallkill River,Lower Hudson River,3.77,855,B
Streams,1306-0032,H-139- 2 thru 6,Minor Tribs to Lower Rondount River,"total length of select tribs, from mouth to Wallkill R",Lower Hudson River,14.8,855,C
Streams,1306-0033,H-139- 7,DeWitt Lake Outlet and tribs,"entire stream and tribs, from mouth to DeWitt Lake",Lower Hudson River,3.12,855,B
Streams,1306-0035,H-139- 7-P449-,Tribs to DeWitt Lake,total length of all tribs,Lower Hudson River,2.81,855,A
Streams,1306-0038,H-139-13 (portion 3),"Wallkill River, Middle, Main Stem",from Tuthill to Middletown,Lower Hudson River,28,855,B
Streams,1306-0039,H-139-13- 2,Swarte Kill and tribs,entire stream and tribs,Lower Hudson River,26.95,855,B
Streams,1306-0040,H-139-13- 3 thru 18,Minor Tribs to Lower Lower Wallkill,"total length of select tribs, fr Sturgeon Pd to Tuthill",Lower Hudson River,41.75,855,C
Streams,1306-0041,H-139-13-10- 1,"Unnamed Trib to Wallkill, Upp, and tribs",entire stream and tribs,Lower Hudson River,0.52,855,B
Streams,1306-0042,H-139-13-11,"Unnamed Trib to Wallkill, and mnr tribs",entire stream and select tribs,Lower Hudson River,14.72,855,C
Streams,1306-0043,H-139-13-11- 4,Kleine Kill and tribs,entire stream and tribs,Lower Hudson River,3.22,855,AA
Streams,1306-0044,H-139-13-16,Platte Kill and tribs,entire stream and tribs,Lower Hudson River,25.48,855,C
Streams,1306-0045,H-139-13-19,"Shawangunk Kill, Lower, and minor tribs","stream and select tribs, from mouth to Pinebush",Lower Hudson River,39.49,855,B
Streams,1306-0046,H-139-13-19,"Shawangunk Kill, Middle, and minor tribs","stream and select tribs, from Pinebush to New Vernon",Lower Hudson River,76.22,855,B(T)
Streams,1306-0047,H-139-13-19,"Shawangunk Kill, Middle, and tribs","stream and tribs, from New Vernon to New Hope",Lower Hudson River,18.48,855,B
Streams,1306-0048,H-139-13-19,"Shawangunk Kill, Upper, and tribs","stream and tribs, above New Hope",Lower Hudson River,11.69,855,A
Streams,1306-0050,H-139-13-19- 5,"Palmaghatt Kill, Upper, and tribs","stream and tribs, above Rutsonville",Lower Hudson River,5.06,855,A(T)
Streams,1306-0052,H-139-13-19- 7,Dwaar Kill and tribs,entire stream and tribs,Lower Hudson River,18.13,855,B(T)
Streams,1306-0053,H-139-13-19- 9,"Pakanasink Creek, Upper, and tribs","stream and tribs, above Van Keuren",Lower Hudson River,10.87,855,C
Streams,1306-0054,H-139-13-19-10,Verkeerder Kill Creek and tribs,entire stream and tribs,Lower Hudson River,23.28,855,A(T)
Streams,1306-0057,H-139-13-19-15,Platte Kill/Halliday Brook and tribs,entire stream and tribs,Lower Hudson River,15.61,855,B(T)
Streams,1306-0059,H-139-13-19-28,Little Shawangunk Kill and tribs,entire stream and tribs,Lower Hudson River,16.63,855,B
Streams,1306-0061,H-139-13-20 thru 53,Minor Tribs to Middle Wallkill,"total length of select tribs, fr Tuthill to Middletown",Lower Hudson River,88.83,855,C
Streams,1306-0062,H-139-13-24,"Dwaar Kill, Lower, and tribs","stream and tribs, from mouth to near Co Route 89",Lower Hudson River,24.53,855,C
Streams,1306-0063,H-139-13-24,"Dwaar Kill, Middle and tribs","stream and tribs, from Co Route 89 to Co Route 17K",Lower Hudson River,16.66,855,A
Streams,1306-0064,H-139-13-24,"Dwaar Kill, Upper, and tribs","stream and tribs, above Co Route 17K",Lower Hudson River,6.91,855,B
Streams,1306-0065,H-139-13-28,"Latterette Creek, Upper, and tribs","stream and tribs, above Wallkill",Lower Hudson River,2.22,855,AA
Streams,1306-0066,H-139-13-31,"Borden Creek, Upper, and tribs","stream and tribs, above Borden Estate",Lower Hudson River,4.15,855,AA
Streams,1306-0068,H-139-13-33,"Tin Brook, Lower, and tribs","stream and tribs, from mouth to Walden",Lower Hudson River,11.42,855,A
Streams,1306-0069,H-139-13-33,"Tin Brook, Upper, and tribs","stream and tribs, above Walden",Lower Hudson River,18.64,855,B
Streams,1306-0070,H-139-13-41,Mannayunk Kill and tribs,entire stream and tribs,Lower Hudson River,9.02,855,C
Streams,1306-0071,H-139-13-47,"Milburn Creek, Upper, and tribs","stream and tribs, above Crystal Run",Lower Hudson River,13.9,855,B(T)
Streams,1306-0072,H-139-13-51,Masonic Creek and tribs,entire stream and tribs,Lower Hudson River,23.21,855,B
Streams,1306-0074,H-139-13-52,Monhagen Brook and tribs,entire stream and tribs,Lower Hudson River,25.92,855,C
Streams,1306-0078,H-139-13-61,Pochuck Creek and minor tribs,"stream and select tribs, from mouth to NY-NJ state line",Lower Hudson River,16.41,855,C
Streams,1306-0110,H-139-14-35,"Vernoy Kill, Upper, and tribs","stream and tribs, above Wawarsing",Lower Hudson River,28.28,862,A(TS)
Streams,1306-0079,H-139-13-61- 9,"Wawayanda Creek, Lower, and tribs","stream and tribs, from NY-NJ state line to Warwick",Lower Hudson River,36.21,855,C(T)
Streams,1306-0080,H-139-13-61- 9-15,"Unnamed Trib to Wawayanda Cr, and tribs",entire stream and tribs,Lower Hudson River,4.14,855,B
Streams,1306-0081,H-139-13-61- 9-20,"Warwick Reservoir Outlet, Upp, and tribs","stream and tribs, above Warwick",Lower Hudson River,2.18,855,AA(TS)
Streams,1306-0082,H-139-13-61- 9-25,"Long House Creek, Upper, and tribs","stream and tribs, above Stonebridge",Lower Hudson River,16.88,855,B(T)
Streams,1306-0084,H-139-13-62- 2,Catlin Creek and tribs,entire stream and tribs,Lower Hudson River,16.44,855,C
Streams,0302-0073,Ont  98- 1,Deer Creek and tribs,entire stream and tribs,Lake Ontario,8.88,847,C
Streams,1306-0085,H-139-13-62- 3,"Indigot Creek, Lower, and tribs","stream and tribs, from mouth to near Mount Orange Road",Lower Hudson River,30.69,855,C
Streams,1306-0086,H-139-13-62- 3,"Indigot Creek, Upper, and tribs","stream and tribs, above Mount Orange Road",Lower Hudson River,11.55,855,A
Streams,1306-0088,H-139-14 (portion 1),"Rondout Creek, Middle, Main Stem",from Wallkill River to Wawarsing,Lower Hudson River,25.27,855,B
Streams,1306-0089,H-139-14 (portion 2),"Rondout Creek, Middle, and minor tribs","stream and select tribs, from Wawarsing to Honk Lake",Lower Hudson River,9.16,855,C(T)
Streams,1306-0091,H-139-14 (portion 4),"Rondout Creek, Middle, and tribs","stream and tribs, from Honk Lake to Rondout Reservoir",Lower Hudson River,5.14,855,C(TS)
Streams,1404-0045,D-71-12,Cold Spring Creek and minor tribs,entire stream and selected/smaller tribs,Delaware River,18.79,815,C(TS)
Streams,1404-0046,D-71-12- 2,East Branch Cold Spring and tribs,entire stream and tribs,Delaware River,24.77,815,C(TS)
Streams,1404-0048,D-71-14 thru 32,Minor Tribs to Cannonsville Reservoir,selected/smaller tribs fr Cannonsville Dam to Beerston,Delaware River,57.17,815,A
Streams,1404-0049,D-71-20,"Trout Creek, Lower, and minor tribs",stream and selected tribs from mouth to near Trout Cr,Delaware River,9.77,815,A(TS)
Streams,1404-0050,D-71-20,"Trout Creek, Upper, and tribs",stream and tribs in/above Trout Creek,Delaware River,37.51,815,C(TS)
Streams,1404-0051,D-71-20- 3,"Loomis Creek, Upper, and tribs",entire stream and tribs,Delaware River,15.78,815,C(T)
Streams,1404-0052,D-71-25,"Dryden Brook, Lower, and tribs",stream and tribs from mouth to Finch Hollow,Delaware River,4.54,815,A(TS)
Streams,1404-0053,D-71-25,"Dryden Brook, Upper, and tribs",stream and tribs above Finch Hollow,Delaware River,9.99,815,C(TS)
Streams,1404-0056,D-71-33 thru 49,Minor Tribs to West Branch Delaware,selected/smaller tribs from Beerston to Hawleys,Delaware River,46.1,815,C
Streams,1404-0058,D-71-38,"West Brook, Main Stem",from mouth to trib -4,Delaware River,6.61,815,B(TS)
Streams,1404-0059,D-71-38- 1,"Third Brook, Upper, and tribs",stream and tribs above/including reservoir (P414),Delaware River,6.2,815,A
Streams,1404-0060,D-71-38- 2,"Carrs Brook, Upper and tribs",stream and tribs above/including reservoir (P415),Delaware River,11.43,815,A(T)
Streams,1404-0061,D-71-38-,Minor Tribs to West Brook,"selected/smaller tribs, including Upper West Brook",Delaware River,22.47,815,C
Streams,1404-0062,D-71-39,"East Brook, Lower, and tribs",stream and tribs from mouth to Private Road Bridge,Delaware River,3.21,815,C(TS)
Streams,1404-0063,D-71-39,"East Brook, Upper, and tribs",stream and tribs above Private Road Bridge,Delaware River,40.22,815,A(TS)
Streams,1404-0064,D-71-50 thru 60,Minor Tribs to West Branch Delaware,selected/smaller tribs from Hawley to near Delhi,Delaware River,25.31,815,C(T)
Streams,1404-0065,D-71-54,Bagley Brook and minor tribs,entire stream and selected/smaller tribs,Delaware River,24.73,815,C(TS)
Streams,1404-0066,D-71-54- 1,Bagley Brook Tributary,stream and tribs above water supply dam,Delaware River,0.26,815,AA(T)
Streams,1404-0067,D-71-57,Platner Brook and tribs,entire stream and selected/smaller tribs,Delaware River,25.34,815,C(TS)
Streams,1404-0069,D-71-59,Peak Brook and tribs,entire stream and tribs,Delaware River,13.49,815,C(TS)
Streams,1404-0070,D-71-61,"Little Delaware, Lower, and minor tribs",stream and selected tribs from mouth to Bovina Center,Delaware River,60.58,815,C(T)
Streams,1404-0071,D-71-61,"Little Delaware, Upper, and tribs",stream and tribs above Bovina Center,Delaware River,22.93,815,C(TS)
Streams,1404-0076,D-71-62 thru 96,Minor Tribs to West Branch Delaware,selected/smaller tribs in/above Delhi,Delaware River,61.02,815,C
Streams,1404-0077,D-71-63,"Steele Brook, Upper, and tribs",stream and tribs above/including Delhi Reservoir (P430),Delaware River,8.24,815,A(TS)
Streams,1404-0079,D-71-65,Falls Creek and tribs,entire stream and tribs,Delaware River,12.69,815,C(TS)
Streams,1404-0080,D-71-66,Elk Creek and tribs,entire stream and tribs,Delaware River,22.71,815,C(TS)
Streams,1404-0081,D-71-78,Wright Brook and minor tribs,entire stream and selected/smaller tribs,Delaware River,15.83,815,C(T)
Streams,1404-0082,D-71-78-a,Wright Brook Tributary,entire stream and tribs,Delaware River,0.86,815,AA
Streams,1404-0083,D-71-83,Rose Brook and tribs,entire stream and tribs,Delaware River,20.34,815,C(TS)
Streams,1404-0084,D-71-85,Betty Brook and tribs,entire stream and tribs,Delaware River,12.16,815,C(T)
Streams,1404-0085,D-71-92,Lake Brook and tribs,entire stream and tribs,Delaware River,11.62,815,C(TS)
Streams,1404-0087,D-71-93,"Town Brook, Lower, and tribs",stream and tribs from mouth to water supply dam,Delaware River,12.67,815,C(T)
Streams,1404-0088,D-71-93,"Town Brook, Upper, and tribs",stream and tribs above water supply dam,Delaware River,10.65,815,A(T)
Streams,1404-0091,D-71-P453-2-P461-1,Tribs to Utsayantha Lake,entire stream and tribs,Delaware River,0.73,815,A
